category,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Sales Associate,Cart Crasher Campaign,337453.69,111,3040.12,557.26,4996.24
Clothing,Budget Shopper,Sales Associate,Double Points Bonanza,300199.81,111,2704.50,583.72,4995.86
Clothing,Budget Shopper,Salesperson,Cashback Carnival,317626.32,110,2887.51,566.74,4978.17
Clothing,Budget Shopper,Salesperson,Double Points Bonanza,303401.27,101,3003.97,518.64,4969.70
Clothing,Churn Risk,Salesperson,Seasonal Surprise Box,306950.27,106,2895.76,529.30,4914.78
Clothing,Deal Seeker,Sales Associate,Autumn Deals Drive,300377.38,101,2974.03,514.37,4991.85
Clothing,Deal Seeker,Salesperson,Instant Gratification Sale,329116.95,118,2789.13,503.83,4992.16
Clothing,Deal Seeker,Salesperson,Loyalty Rewards Blast,319880.93,113,2830.80,571.99,4942.24
Clothing,First-time Buyer,Sales Associate,Early Bird Specials,305308.88,109,2801.00,524.59,4965.35
Clothing,First-time Buyer,Sales Associate,Final Call Frenzy,300981.67,102,2950.80,732.13,4978.28
Clothing,First-time Buyer,Sales Associate,Midnight Madness,313548.11,105,2986.17,570.65,4900.07
Clothing,First-time Buyer,Salesperson,Exclusive Insider Offers,308482.48,107,2883.01,512.76,4989.69
Clothing,First-time Buyer,Salesperson,VIP Access Sale,305349.72,110,2775.91,524.65,4977.51
Clothing,High Value,Sales Associate,Cyber Monday Mania,308947.25,107,2887.36,544.48,4968.83
Clothing,High Value,Sales Associate,Flash Frenzy Friday,311680.62,113,2758.24,516.34,4986.49
Clothing,High Value,Salesperson,Autumn Deals Drive,300828.93,102,2949.30,602.45,4943.25
Clothing,In-Store Regular,Sales Associate,Customer Appreciation Week,318830.40,112,2846.70,572.93,4978.37
Clothing,In-Store Regular,Sales Associate,New Product Launch Promo,320004.39,118,2711.90,522.14,4943.13
Clothing,Loyal Customer,Sales Associate,Summer Sizzle Promo,308816.20,107,2886.13,657.91,4930.78
Clothing,Loyal Customer,Salesperson,Hot Picks Promo,304597.07,100,3045.97,658.44,4927.45
Clothing,Occasional Shopper,Manager,Customer Appreciation Week,333931.92,107,3120.86,543.59,4965.75
Clothing,Occasional Shopper,Sales Associate,Flash Frenzy Friday,302185.10,105,2877.95,513.91,4983.04
Clothing,Online Shopper,Sales Associate,Holiday Shopping Rush,331729.78,114,2909.91,505.46,4992.50
Clothing,Online Shopper,Sales Associate,Loyalty Rewards Blast,327314.56,109,3002.89,533.70,4979.86
Clothing,Online Shopper,Sales Associate,Seasonal Surprise Box,307696.76,106,2902.80,508.74,4982.48
Clothing,Online Shopper,Salesperson,BOGO Blitz,301583.99,111,2716.97,626.50,4981.27
Clothing,Premium Shopper,Manager,Clearance Countdown,318284.33,102,3120.43,536.27,4986.19
Clothing,Premium Shopper,Sales Associate,Deal of the Month,303131.27,111,2730.91,507.82,4941.39
Clothing,Premium Shopper,Sales Associate,Red Tag Clearance,308129.74,112,2751.16,502.58,4946.25
Clothing,Premium Shopper,Salesperson,Green Weekend Deals,309892.49,108,2869.37,556.03,4959.69
Electronics,Budget Shopper,Manager,Clearance Countdown,305126.41,104,2933.91,512.11,4984.04
Electronics,Budget Shopper,Sales Associate,Holiday Shopping Rush,301334.07,106,2842.77,725.85,4977.03
Electronics,Budget Shopper,Salesperson,Weekend Warrior Specials,303607.53,104,2919.30,632.52,4917.41
Electronics,Churn Risk,Manager,Ultimate Value Event,307220.23,111,2767.75,509.32,4997.13
Electronics,Churn Risk,Salesperson,Festive Fever Promo,316876.31,112,2829.25,532.91,4987.73
Electronics,Churn Risk,Salesperson,New Product Launch Promo,312500.41,107,2920.56,548.03,4978.60
Electronics,Deal Seeker,Sales Associate,Winter Clearance Carnival,321316.13,111,2894.74,504.61,4991.72
Electronics,Deal Seeker,Salesperson,Exclusive Insider Offers,306101.39,103,2971.86,594.93,4986.42
Electronics,Deal Seeker,Salesperson,Winter Wonders Sale,323320.78,119,2716.98,524.57,4910.15
Electronics,First-time Buyer,Sales Associate,Limited Time Treasures,312669.27,106,2949.71,650.76,4983.83
Electronics,First-time Buyer,Salesperson,Cart Crasher Campaign,301293.01,102,2953.85,559.52,4970.31
Electronics,High Value,Manager,Customer Appreciation Week,313898.79,107,2933.63,546.87,4996.51
Electronics,In-Store Regular,Sales Associate,Autumn Deals Drive,311808.25,108,2887.11,584.31,4952.85
Electronics,In-Store Regular,Sales Associate,New Product Launch Promo,312743.87,108,2895.78,591.73,4983.81
Electronics,In-Store Regular,Salesperson,Customer Appreciation Week,306127.30,109,2808.51,508.00,4998.63
Electronics,In-Store Regular,Salesperson,Exclusive Insider Offers,303394.75,108,2809.21,517.90,4933.10
Electronics,In-Store Regular,Senior Salesperson,Cart Crasher Campaign,317950.10,105,3028.10,526.19,4822.90
Electronics,Loyal Customer,Manager,New Arrival Showcase,301724.98,98,3078.83,742.66,4996.76
Electronics,Loyal Customer,Sales Associate,Clearance Countdown,307128.57,103,2981.83,568.05,4911.94
Electronics,Loyal Customer,Sales Associate,Early Bird Specials,305817.10,108,2831.64,529.31,4973.65
Electronics,Loyal Customer,Sales Associate,Mid-Year Madness,303178.04,110,2756.16,504.23,4976.96
Electronics,Occasional Shopper,Manager,Instant Gratification Sale,311427.04,107,2910.53,527.70,4985.75
